Date,Open,High,Low,Close,Volume,Adj Close
2005-08-26,110.50,110.70,109.03,109.75,1660700,107.31
2005-08-25,110.24,110.75,109.00,110.50,1968300,108.04
2005-08-24,111.79,112.71,109.99,109.99,2245400,107.54
2005-08-23,111.50,112.00,111.07,111.80,1927000,109.31
2005-08-22,111.80,112.41,111.08,111.70,1682400,109.21
2005-08-19,111.12,111.84,110.95,111.27,1450300,108.79
2005-08-18,110.89,111.33,110.22,110.85,2042200,108.38
2005-08-17,111.85,112.07,110.21,111.13,4218100,108.66
2005-08-16,114.55,114.87,112.00,112.08,2684000,109.58
2005-08-15,113.25,114.82,112.98,114.67,2315000,112.12
2005-08-12,113.18,114.35,112.90,113.65,3031100,111.12
2005-08-11,112.08,114.28,111.94,114.14,4167700,111.60
2005-08-10,111.98,113.82,111.82,112.03,4273100,109.54
2005-08-09,110.03,111.62,110.02,111.48,3613500,109.00
2005-08-08,110.03,110.96,109.65,109.91,2777500,107.46
2005-08-05,108.75,109.80,108.25,109.70,3261500,107.26
2005-08-04,110.00,110.07,108.75,109.25,2082300,106.82
2005-08-03,109.08,111.10,108.77,110.87,3367900,108.40
2005-08-02,107.25,109.68,107.25,109.52,2682200,107.08
2005-08-01,107.60,108.27,106.69,107.12,2459600,104.73
2005-07-29,109.42,109.50,107.44,107.48,2087800,105.09
2005-07-28,109.20,109.90,108.10,109.67,2342500,107.23
2005-07-27,107.95,109.18,107.28,109.15,2389200,106.72
2005-07-26,108.53,108.72,107.57,107.72,2000700,105.32
2005-07-25,109.07,109.73,108.31,108.32,1873000,105.91
2005-07-22,107.94,109.24,107.68,109.13,2310700,106.70
2005-07-21,109.25,109.64,107.88,108.25,3921800,105.60
2005-07-20,107.75,109.98,107.73,109.61,4081500,106.92
2005-07-19,108.65,109.88,108.62,109.72,3630700,107.03
2005-07-18,107.95,108.68,107.49,108.24,2687900,105.59
2005-07-15,108.25,108.79,107.77,108.50,2968100,105.84
2005-07-14,108.95,109.20,108.22,108.55,3750300,105.89
2005-07-13,107.32,108.46,107.24,108.00,3890400,105.35
2005-07-12,107.00,108.68,107.00,107.24,4383200,104.61
2005-07-11,105.66,107.46,105.62,107.31,4440500,104.68
2005-07-08,104.10,105.84,103.68,105.65,3191900,103.06
2005-07-07,102.35,104.21,102.02,104.10,4250300,101.55
2005-07-06,103.03,104.07,103.03,103.55,4302800,101.01
2005-07-05,102.25,103.70,102.16,103.18,2487800,100.65
2005-07-01,102.17,103.64,102.17,102.71,2433500,100.19
2005-06-30,103.28,103.46,101.77,102.02,3062500,99.52
2005-06-29,104.21,104.45,102.61,102.79,3225900,100.27
2005-06-28,103.50,104.96,103.30,103.96,3477400,101.41
2005-06-27,103.00,103.69,102.00,103.20,3099900,100.67
2005-06-24,102.16,103.70,101.93,103.67,5214000,101.13
2005-06-23,102.30,103.13,101.90,102.02,3857400,99.52
2005-06-22,102.67,103.40,102.34,102.47,3564400,99.96
2005-06-21,103.00,103.80,102.56,102.64,3704600,100.12
2005-06-20,103.25,103.85,102.66,103.25,3718500,100.72
2005-06-17,102.75,104.24,102.30,103.80,6254200,101.25
2005-06-16,100.00,103.30,98.70,102.65,10327600,100.13
2005-06-15,98.60,99.63,97.81,99.19,6113000,96.76
2005-06-14,99.65,100.17,98.25,98.30,4687900,95.89
2005-06-13,98.78,99.77,98.41,99.26,4434400,96.83
2005-06-10,100.13,100.13,98.68,99.05,1879100,96.62
2005-06-09,99.20,100.36,98.61,99.95,4091100,97.50
2005-06-08,99.10,99.23,98.35,98.35,3018700,95.94
2005-06-07,99.20,99.47,98.28,98.40,3734200,95.99
2005-06-06,96.75,98.78,96.43,98.42,3379800,96.01
2005-06-03,97.55,98.13,96.66,97.30,3299100,94.91
2005-06-02,98.00,98.48,97.23,97.67,3975200,95.27
2005-06-01,97.40,99.78,96.71,98.64,6487000,96.22
2005-05-31,94.90,97.57,94.75,97.50,7687500,95.11
2005-05-27,96.95,96.97,95.16,95.50,6726800,93.16
2005-05-26,98.05,98.16,96.04,96.60,7984100,94.23
2005-05-25,99.70,99.70,97.23,97.25,6690600,94.86
2005-05-24,100.50,100.50,98.70,99.58,4118500,97.14
2005-05-23,101.65,101.65,100.30,100.69,3706200,98.22
2005-05-20,99.95,101.20,99.55,101.08,3495500,98.60
2005-05-19,100.00,100.50,99.23,100.12,3734500,97.66
2005-05-18,99.00,99.97,98.50,99.58,5248400,97.14
2005-05-17,97.50,98.62,97.25,98.35,5396100,95.94
2005-05-16,98.00,99.29,97.80,98.42,4893300,96.01
2005-05-13,99.50,100.20,96.42,97.82,9189000,95.42
2005-05-12,103.50,103.73,99.34,100.22,7465400,97.76
2005-05-11,102.55,104.04,101.97,103.75,5132100,101.21
2005-05-10,104.22,104.27,101.81,102.11,6365100,99.61
2005-05-09,104.48,105.54,104.22,105.50,3631100,102.91
2005-05-06,105.75,106.18,104.50,104.68,3804000,102.11
2005-05-05,106.80,107.29,104.56,105.30,4722400,102.72
2005-05-04,105.20,107.15,104.65,106.27,5198800,103.66
2005-05-03,103.55,104.90,103.05,104.37,5618200,101.81
2005-05-02,105.85,105.85,103.00,104.46,6286100,101.90
2005-04-29,107.13,107.28,104.50,106.79,4585000,104.17
2005-04-28,106.95,107.89,105.94,106.23,3574100,103.62
2005-04-27,105.67,108.16,105.21,107.76,3631200,105.12
2005-04-26,105.74,107.19,105.12,105.72,3703400,103.13
2005-04-25,105.50,106.41,104.55,105.74,3600400,103.15
2005-04-22,105.00,105.75,103.21,104.19,7265000,101.63
2005-04-21,105.50,106.92,103.45,105.11,7066500,102.29
2005-04-20,106.70,106.89,104.07,104.33,5484400,101.53
2005-04-19,107.50,107.92,106.66,106.69,4613900,103.83
2005-04-18,106.69,107.99,106.30,107.35,4059600,104.47
2005-04-15,108.35,109.07,106.49,106.49,5600500,103.63
2005-04-14,110.15,110.40,108.43,108.49,4350600,105.58
2005-04-13,111.77,112.00,109.73,110.01,4684700,107.06
